symbol,venue,company
GNA.TO,TSX
BRC.TO,TSX
NPI.TO,TSX
CAS.TO,TSX
ATA.TO,TSX
AQN.TO,TSX
WPT.TO,TSX
NAL.TO,TSX
NFI.TO,TSX
RPG.TO,TSX
MPT.TO,TSX
MLX.TO,TSX
MXY.TO,TSX
BLX.TO,TSX
GLV.TO,TSX
BXI.TO,TSX
IEF.TO,TSX
WFI.TO,TSX
BU.TO,TSX
RCM.TO,TSX
VNP.TO,TSX
PCC.TO,TSX
BPT.TO,TSX
SOY.TO,TSX
TIM.TO,TSX
BLD.TO,TSX
INE.TO,TSX
NRG.TO,TSX
AZD.TO,TSX
TMB.TO,TSX
ZPP.TO,TSX
BQE.TO,TSX
GTH.TO,TSX
BEV.TO,TSX
EFL.TO,TSX
ISE.TO,TSX
HEM.TO,TSX
XBC.TO,TSX
CMH.TO,TSX
DFE.TO,TSX
PRP.TO,TSX
HYG.TO,TSX
APV.TO,TSX
TPS.TO,TSX
DNK.TO,TSX
GWI.TO,TSX
EF.TO,TSX
